Promoter,Longest_CREB1_NCSite,Longest_EGR1_NCSite,Contains_CREB1_PWM,Contains_EGR1_PWM
chr1:66997275-66999275,23.0,17.0,1,0
chr1:66997043-66999043,23.0,17.0,1,0
chr1:66997835-66999835,23.0,17.0,1,0
chr1:16765218-16767218,20.0,19.0,0,0
chr1:33544753-33546753,24.0,19.0,0,1
chr1:33545778-33547778,24.0,15.0,0,1
chr1:59012398-59014398,17.0,14.0,0,1
chr1:25069937-25071937,25.0,26.0,0,1
chr1:8376173-8378173,15.0,16.0,1,0
chr1:50489626-50491626,18.0,15.0,1,1
chr1:16765166-16767166,20.0,19.0,0,0
chr1:92351708-92353708,31.0,28.0,0,1
chr1:100715390-100717390,14.0,17.0,0,1
chr1:92371559-92373559,30.0,30.0,0,0
chr1:184354162-184356162,15.0,16.0,0,1
chr1:150978924-150980924,16.0,14.0,0,1
chr1:176176422-176178422,29.0,21.0,0,1
chr1:159365259-159367259,15.0,15.0,0,0
chr1:159365254-159367254,15.0,15.0,0,0
chr1:176176380-176178380,29.0,21.0,0,1
chr1:226497204-226499204,16.0,15.0,0,0
chr1:226497468-226499468,24.0,21.0,0,1
chr1:226496865-226498865,16.0,15.0,0,0
chr1:1051469-1053469,13.0,12.0,0,1
chr1:6843513-6845513,15.0,13.0,0,1
chr1:2002900-2004900,15.0,17.0,0,1
chr1:1979849-1981849,15.0,13.0,0,1
chr1:2983766-2985766,14.0,13.0,0,1
chr1:2003424-2005424,15.0,13.0,1,1
chr1:2034154-2036154,18.0,19.0,0,1
chr1:6296024-6298024,19.0,16.0,0,1
chr1:13627924-13629924,18.0,19.0,0,1
chr1:13627931-13629931,18.0,19.0,0,1
chr1:13698405-13700405,22.0,22.0,0,0
chr1:23035330-23037330,18.0,16.0,0,1
chr1:22109692-22111692,16.0,13.0,1,0
chr1:22109642-22111642,16.0,13.0,1,0
chr1:20957950-20959950,23.0,21.0,0,1
chr1:23035331-23037331,18.0,16.0,0,1
chr1:31538564-31540564,21.0,21.0,0,0
chr1:28415148-28417148,23.0,22.0,0,1
chr1:28415121-28417121,23.0,22.0,0,1
chr1:29239080-29241080,21.0,28.0,0,1
chr1:29211611-29213611,20.0,16.0,1,0
chr1:32477468-32479468,35.0,16.0,0,0
chr1:26232910-26234910,17.0,16.0,0,1
chr1:29239087-29241087,21.0,28.0,0,1
chr1:27246233-27248233,16.0,15.0,0,0
chr1:29211602-29213602,20.0,16.0,1,0
chr1:39547838-39549838,17.0,14.0,0,0
chr1:34630831-34632831,20.0,19.0,0,1
chr1:35658746-35660746,27.0,25.0,0,1
chr1:36688043-36690043,16.0,34.0,0,1
chr1:34631443-34633443,15.0,19.0,0,1
chr1:48463057-48465057,19.0,13.0,0,1
chr1:42926956-42928956,19.0,16.0,0,0
chr1:43994530-43996530,16.0,17.0,0,1
chr1:43989707-43991707,29.0,26.0,0,1
chr1:44868926-44870926,24.0,27.0,0,1
chr1:46152205-46154205,19.0,12.0,0,1
chr1:44870463-44872463,16.0,15.0,0,1
chr1:44868831-44870831,24.0,27.0,0,1
chr1:44887672-44889672,22.0,20.0,0,0
chr1:42919777-42921777,20.0,20.0,0,0
chr1:43994553-43996553,16.0,17.0,0,1
chr1:57888784-57890784,18.0,13.0,0,1
chr1:52456372-52458372,16.0,13.0,0,0
chr1:53390947-53392947,18.0,18.0,0,1
chr1:57890426-57892426,19.0,15.0,0,0
chr1:51425939-51427939,19.0,44.0,0,0
chr1:58716175-58718175,17.0,16.0,0,1
chr1:57889732-57891732,15.0,15.0,0,1
chr1:57889978-57891978,15.0,15.0,0,1
chr1:55681037-55683037,16.0,21.0,0,1
chr1:54517280-54519280,18.0,13.0,0,0
chr1:59760484-59762484,16.0,17.0,0,1
chr1:63988944-63990944,17.0,13.0,0,1
chr1:62900719-62902719,16.0,14.0,0,1
chr1:64969596-64971596,26.0,22.0,0,0
chr1:62899974-62901974,17.0,16.0,0,1
chr1:61540898-61542898,19.0,19.0,0,0
chr1:59760765-59762765,13.0,17.0,0,1
chr1:65989371-65991371,17.0,18.0,0,1
chr1:61546232-61548232,18.0,16.0,0,1
chr1:64933811-64935811,20.0,16.0,0,0
chr1:65884334-65886334,18.0,28.0,0,1
chr1:63988896-63990896,17.0,13.0,0,1
chr1:65884350-65886350,18.0,28.0,0,1
chr1:61545410-61547410,18.0,20.0,0,1
chr1:65989333-65991333,17.0,18.0,0,1
chr1:70031604-70033604,22.0,18.0,0,0
chr1:70033023-70035023,15.0,13.0,0,1
chr1:70032435-70034435,22.0,18.0,0,1
chr1:70032436-70034436,22.0,18.0,0,1
chr1:72748222-72750222,41.0,36.0,0,1
chr1:76538430-76540430,17.0,17.0,0,1
chr1:81769876-81771876,16.0,17.0,0,0
chr1:81770079-81772079,16.0,17.0,0,0
chr1:77685115-77687115,18.0,38.0,0,1
chr1:81769943-81771943,16.0,17.0,0,0
chr1:86043883-86045883,17.0,19.0,0,1
chr1:87010760-87012760,22.0,17.0,0,0
chr1:90096678-90098678,20.0,19.0,0,0
chr1:93427079-93429079,27.0,25.0,0,1
chr1:94375154-94377154,23.0,18.0,0,0
chr1:93342707-93344707,19.0,29.0,0,0
chr1:93427019-93429019,27.0,25.0,0,1
chr1:94374986-94376986,23.0,18.0,0,0
chr1:107681956-107683956,18.0,17.0,0,0
chr1:107681660-107683660,18.0,17.0,0,1
chr1:107680709-107682709,16.0,12.0,0,1
chr1:112160404-112162404,20.0,20.0,0,1
chr1:114302510-114304510,24.0,22.0,1,0
chr1:114302162-114304162,24.0,22.0,1,0
chr1:110089236-110091236,15.0,16.0,1,0
chr1:112082630-112084630,14.0,22.0,0,0
chr1:111174062-111176062,18.0,15.0,0,0
chr1:113249678-113251678,15.0,18.0,0,1
chr1:113250025-113252025,15.0,19.0,0,0
chr1:114302108-114304108,24.0,22.0,1,0
chr1:114301777-114303777,24.0,22.0,0,0
